Date : 2021-04-12 13:38:02
Directory : /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib
Total : 64 files,  7135 codes, 847 comments, 881 blanks, all 8863 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         64 |      7,135 |        847 |        881 |      8,863 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                         |         64 |      7,135 |        847 |        881 |      8,863 |
| Screens                                                                                                                                   |         30 |      3,203 |        535 |        255 |      3,993 |
| Screens/Courses                                                                                                                           |          2 |        223 |          3 |          8 |        234 |
| Screens/Forums                                                                                                                            |          1 |        160 |         10 |          7 |        177 |
| Screens/Subscription                                                                                                                      |          1 |        809 |          7 |          8 |        824 |
| Screens/WebView                                                                                                                           |          2 |         36 |          0 |          7 |         43 |
| Screens/WebView/PrivacyPolicy                                                                                                             |          1 |         17 |          0 |          3 |         20 |
| Screens/WebView/TermsAndConditon                                                                                                          |          1 |         19 |          0 |          4 |         23 |
| Screens/authentication                                                                                                                    |          5 |        448 |         50 |         51 |        549 |
| Screens/authentication/email_verification                                                                                                 |          1 |          0 |         48 |          5 |         53 |
| Screens/authentication/login                                                                                                              |          2 |        213 |          0 |         23 |        236 |
| Screens/authentication/signup                                                                                                             |          2 |        235 |          2 |         23 |        260 |
| Screens/bottom_nav_bar                                                                                                                    |          2 |        100 |          4 |          9 |        113 |
| Screens/games                                                                                                                             |          2 |        179 |          4 |         12 |        195 |
| Screens/podcast                                                                                                                           |          2 |        205 |         46 |         19 |        270 |
| Screens/podcast/shadow_support_file                                                                                                       |          1 |         27 |          0 |          7 |         34 |
| Screens/podcast_player                                                                                                                    |          1 |        426 |         21 |         33 |        480 |
| Screens/profile_page                                                                                                                      |          2 |        373 |         28 |         22 |        423 |
| Screens/splash_screen                                                                                                                     |          1 |         20 |          0 |          4 |         24 |
| Screens/testing                                                                                                                           |          6 |         73 |        353 |         49 |        475 |
| constants                                                                                                                                 |          3 |         58 |          0 |         17 |         75 |
| models                                                                                                                                    |         12 |      3,018 |         33 |        467 |      3,518 |
| repositories                                                                                                                              |          4 |         28 |         67 |         23 |        118 |
| services                                                                                                                                  |          9 |        222 |         18 |         53 |        293 |
| widget                                                                                                                                    |          3 |        505 |        161 |         33 |        699 |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                  | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/Courses/coursesPage.dart                                       | Dart     |        135 |          1 |          5 |        141 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/Courses/lessonsPage.dart                                       | Dart     |         88 |          2 |          3 |         93 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/Forums/Forumpage.dart                                          | Dart     |        160 |         10 |          7 |        177 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/Subscription/subscription_page.dart                            | Dart     |        809 |          7 |          8 |        824 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/WebView/PrivacyPolicy/PrivacyPolicy.dart                       | Dart     |         17 |          0 |          3 |         20 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/WebView/TermsAndConditon/TermsAndConditon.dart                 | Dart     |         19 |          0 |          4 |         23 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/authentication/email_verification/emailVerificationScreen.dart | Dart     |          0 |         48 |          5 |         53 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/authentication/login/login.dart                                | Dart     |         10 |          0 |          6 |         16 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/authentication/login/loginForm.dart                            | Dart     |        203 |          0 |         17 |        220 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/authentication/signup/signup.dart                              | Dart     |         12 |          0 |          8 |         20 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/authentication/signup/signupForm.dart                          | Dart     |        223 |          2 |         15 |        240 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/bottom_nav_bar/navbar.dart                                     | Dart     |         91 |          4 |          7 |        102 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/bottom_nav_bar/navbar_provider.dart                            | Dart     |          9 |          0 |          2 |         11 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/drawer.dart                                                    | Dart     |        102 |          8 |          7 |        117 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/games/Games.dart                                               | Dart     |        154 |          4 |          8 |        166 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/games/gameWebview.dart                                         | Dart     |         25 |          0 |          4 |         29 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/homepage.dart                                                  | Dart     |         22 |          1 |         10 |         33 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/initialPages.dart                                              | Dart     |         27 |          0 |          9 |         36 |
| /Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/podcast/podcastPage.dart                                       | Dart     |        178 |         46 |         12 |        236 |
